"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R6,R5,R7,R2,R3,R1,R4";"R_0603_1608Metric";7;"R_Small_US";;;
2;"Q1";"SOT-23";1;"Si2302";;;
3;"TP5,TP1,TP4,TP2,TP3";"cast_pad";5;"TestPoint";;;
4;"U1,U2,U3";"SOT-23";3;"BC547";;;
5;"C1";"C_0603_1608Metric";1;"C_Small";;;
